RC Institution,RC Department,RC Registered Course Name,VCS #,VCS Name,Course Title,Course Number,Course Credit level,Course Credit Hours,Edition,Alternate Course Values,Start Date,End Date,Start Year,End Year,Start Semester,End Semester,Start Quarter,End Quarter,A1,B1,C1,C2,D1,D2,D3,D4,D5,E1,5A,5B (B1),5B (B2),5B (B3),5C1-C2,5D1,5D2-D5 (D2),5D2-D5 (D3)
"Chicago School of Professional Psychology, The",Applied Behavior Analysis,"4502 BCBA IR, LA, SD",4502," BCBA IR, LA, SD",Behavior Assessment,"AB 564 IR, LA, SD",Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,,,,45,,
"Chicago School of Professional Psychology, The",Behavior Analysis,4142 BCBA,4142, BCBA,Applied Behavior Analysis I,AB521,Graduate,3,Fourth Edition,,8/20/2008,,,,,,,,,,,,,45,0,0,,,,,,,,,,
"Chicago School of Professional Psychology, The",Behavior Analysis,51047 BCaBA,51047, BCaBA,Tehnologies in Applied Behavior Analysis II,BBA430,Undergraduate,2,Fifth Edition,,,,,,,,,,,,,,,,,,,,,,,,,,15,15
"Chicago School of Professional Psychology, The",Behavior Analysis,4499 BCBA - Online,4499, BCBA - Online,Measurement and Design in Behavior Analysis,AB545ON,Graduate,3,Fourth Edition,{Title:Measurement and Design},,,2018,,Summer,,,,,,25,20,,,,,,,,,,,,,,
"Chicago School of Professional Psychology, The",Behavior Analysis,4142 BCBA,4142, BCBA,Research Methods,AB551,Graduate,3,Fourth Edition,,8/20/2008,,,,,,,,,,,30,,,,,,15,,,,,,,,
"Chicago School of Professional Psychology, The",Behavior Analysis,4142 BCBA,4142, BCBA,Professional Ethics and Issues,AB547,Graduate,3,Fourth Edition,,8/20/2008,,,,,,,,45,,,,,,,,,,,,,,,,,
"Chicago School of Professional Psychology, The",Behavior Analysis,4142 BCBA,4142, BCBA,Applied Behavior Analysis II,AB524,Graduate,3,Fourth Edition,{Title:ABA II: Clinical and Educational Applications of Behavior Analysis}{Number:AB522},8/20/2008,,,,,,,,,,,,,0,0,30,15,,,,,,,,,
"Chicago School of Professional Psychology, The",Behavior Analysis,4142 BCBA,4142, BCBA,Assessment & Intervention,AB531,Graduate,2,Fourth Edition,,8/20/2008,8/20/2014,,,,,,,,,,,30,,,,,,,,,,,,,
"Chicago School of Professional Psychology, The",Dept of Applied Behavior Analysis-DC Campus,4498 BCBA DC,4498, BCBA DC,Behavior Change Procedures II,AB 557DC,Graduate,3,Fourth Edition,{Number:AB 557DC}{Title:Behavior Change Procedures II},,,2018,,Summer,,,,,,,,,,,15,30,,,,,,,,,
"Chicago School of Professional Psychology, The",Behavior Analysis,4142 BCBA,4142, BCBA,Concepts and Principles in Applied Behavior Analysis,AB520,Graduate,3,Fourth Edition,,8/20/2008,,,,,,,,,45,,,,,,,,,,,,,,,,
"Chicago School of Professional Psychology, The",Behavior Analysis,4142 BCBA,4142, BCBA,Observation and Measurement,AB550,Graduate,3,Fourth Edition,,8/20/2008,,,,,,,,,,30,,,,,,,15,,,,,,,,
"Chicago School of Professional Psychology, The",Behavior Analysis,4142 BCBA,4142, BCBA,Assessment and Intervention,AB536,Graduate,3,Fourth Edition,,8/20/2013,,,,,,,,,,,,30,,15,,,,,,,,,,,
"Chicago School of Professional Psychology, The",Applied Behavior Analysis,"4502 BCBA IR, LA, SD",4502," BCBA IR, LA, SD",Concepts and Principles in Behavior Analysis II,AB 541SD,Graduate,3,Fourth Edition,{Title:Concepts and Principles in Behavior Analysis II},,,2018,,Summer,,,,,45,,,,,,,,,,,,,,,,
"Chicago School of Professional Psychology, The",Dept of Applied Behavior Analysis-DC Campus,4498 BCBA DC,4498, BCBA DC,Measurement and Design in Behavior Analysis,AB 545 DC,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,,,45,,,
"Chicago School of Professional Psychology, The",Applied Behavior Analysis,4501 BCBA Chicago,4501, BCBA Chicago,Concepts and Principles in Behavior Analysis II,AB 541CH,Graduate,3,Fourth Edition,{Title:Concepts and Principles in Behavior Analysis II},,,2018,,Summer,,,,,45,,,,,,,,,,,,,,,,
"Chicago School of Professional Psychology, The",Dept of Applied Behavior Analysis-DC Campus,4498 BCBA DC,4498, BCBA DC,Professional Ethics & Issues in Behavior Analysis,AB 565DC,Graduate,3,Fourth Edition,{Number:AB 565DC}{Title:Professional Ethics & Issues in Behavior Analysis},,,2018,,Summer,,,,45,,,,,,,,,,,,,,,,,
"Chicago School of Professional Psychology, The",Dept of Applied Behavior Analysis-DC Campus,4498 BCBA DC,4498, BCBA DC,Concepts and Principles in Behavior Analysis I,AB 540DC,Graduate,3,Fourth Edition,{Number:AB 540DC}{Title:Concepts and Principles in Behavior Analysis I},,,2018,,Summer,,,,,45,,,,,,,,,,,,,,,,
"Chicago School of Professional Psychology, The",Behavior Analysis,4500 BCBA Dallas,4500, BCBA Dallas,Measurement and Design in Behavior Analysis,AB 545 TX,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,,,45,,,
"Chicago School of Professional Psychology, The",Applied Behavior Analysis,4501 BCBA Chicago,4501, BCBA Chicago,Measurement and Design in Behavior Analysis,AB 545CH,Graduate,3,Fourth Edition,{Title:Measurement and Design in Behavior Analysis},,,2018,,Summer,,,,,,25,20,,,,,,,,,,,,,,
"Chicago School of Professional Psychology, The",Behavior Analysis,4500 BCBA Dallas,4500, BCBA Dallas,Concepts and Principles of Behavior Analysis I,AB 540 TX,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,45,,,,,
"Chicago School of Professional Psychology, The",Dept of Applied Behavior Analysis-DC Campus,4498 BCBA DC,4498, BCBA DC,Behavior Change Procedures I,AB 556DC,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,,,,,45,
"Chicago School of Professional Psychology, The",Dept of Applied Behavior Analysis-DC Campus,4498 BCBA DC,4498, BCBA DC,Behavior Change Procedures II,AB 557DC,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,,,,,15,30
"Chicago School of Professional Psychology, The",Behavior Analysis,4499 BCBA - Online,4499, BCBA - Online,Concepts and Principles in Behavior Analysis I,AB540ON,Graduate,3,Fourth Edition,{Title:Concepts and Principles I},,,2018,,Summer,,,,,45,,,,,,,,,,,,,,,,
"Chicago School of Professional Psychology, The",Applied Behavior Analysis,4501 BCBA Chicago,4501, BCBA Chicago,Behavior Assessment,AB 564CH,Graduate,3,Fourth Edition,{Title:Behavior Assessment},,,2018,,Summer,,,,,,,,30,,15,,,,,,,,,,,
"Chicago School of Professional Psychology, The",Applied Behavior Analysis,"4502 BCBA IR, LA, SD",4502," BCBA IR, LA, SD",Behavior Change Procedures II ,AB 557LA,Graduate,3,Fourth Edition,{Title:Behavior Change Procedures II },,,2018,,Summer,,,,,,,,,,,15,30,,,,,,,,,
"Chicago School of Professional Psychology, The",Behavior Analysis,4500 BCBA Dallas,4500, BCBA Dallas,Profesional Ethics and Issues,AB 565 TX,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,45,,,,,,,
"Chicago School of Professional Psychology, The",Behavior Analysis,51047 BCaBA,51047, BCaBA,Functional Assessment,BBA420,Undergraduate,3,Fifth Edition,,,,,,,,,,,,,,,,,,,,,,,,,45,,
"Chicago School of Professional Psychology, The",Dept of Applied Behavior Analysis-DC Campus,4498 BCBA DC,4498, BCBA DC,Concepts and Principles in Behavior Analysis II,AB 541DC,Graduate,3,Fourth Edition,{Number:AB 541DC}{Title:Concepts and Principles in Behavior Analysis II},,,2018,,Summer,,,,,45,,,,,,,,,,,,,,,,
"Chicago School of Professional Psychology, The",Behavior Analysis,4499 BCBA - Online,4499, BCBA - Online,Behavior Assessment,AB564ON,Graduate,3,Fourth Edition,{Title:Behavior Assessment},,,2018,,Summer,,,,,,,,30,,15,,,,,,,,,,,
"Chicago School of Professional Psychology, The",Applied Behavior Analysis,"4502 BCBA IR, LA, SD",4502," BCBA IR, LA, SD",Behavior Assessment ,AB 564LA,Graduate,3,Fourth Edition,{Title:Behavior Assessment },,,2018,,Summer,,,,,,,,30,,15,,,,,,,,,,,
"Chicago School of Professional Psychology, The",Applied Behavior Analysis,"4502 BCBA IR, LA, SD",4502," BCBA IR, LA, SD",Concepts and Principles in Behavior Analysis I,AB 540LA,Graduate,3,Fourth Edition,{Title:Concepts and Principles in Behavior Analysis I},,,2018,,Summer,,,,,45,,,,,,,,,,,,,,,,
"Chicago School of Professional Psychology, The",Dept of Applied Behavior Analysis-DC Campus,4498 BCBA DC,4498, BCBA DC,Measurement and Design in Behavior Analysis,AB 545DC,Graduate,3,Fourth Edition,{Number:AB 545DC}{Title:Measurement and Design in Behavior Analysis},,,2018,,Summer,,,,,,25,20,,,,,,,,,,,,,,
"Chicago School of Professional Psychology, The",Applied Behavior Analysis,"4502 BCBA IR, LA, SD",4502," BCBA IR, LA, SD",Professional Ethics & Issues in Behavior Analysis,AB 565LA,Graduate,3,Fourth Edition,{Title:Professional Ethics & Issues in Behavior Analysis},,,2018,,Summer,,,,45,,,,,,,,,,,,,,,,,
"Chicago School of Professional Psychology, The",Applied Behavior Analysis,4501 BCBA Chicago,4501, BCBA Chicago,Measurement and Design in Behavior Analysis,AB 545CH,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,,,45,,,
"Chicago School of Professional Psychology, The",Applied Behavior Analysis,4501 BCBA Chicago,4501, BCBA Chicago,Behavior Change Procedures II,AB 557CH,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,,,,,15,30
"Chicago School of Professional Psychology, The",Behavior Analysis,51047 BCaBA,51047, BCaBA,Ethical Application of ABA,BBA405,Undergraduate,3,Fifth Edition,,,,,,,,,,,,,,,,,,,,30,,,,,,,
"Chicago School of Professional Psychology, The",Behavior Analysis,4500 BCBA Dallas,4500, BCBA Dallas,Concepts and Principles in Behavior Analysis II ,AB 541TX,Graduate,3,Fourth Edition,{Title:Concepts and Principles in Behavior Analysis II },,,2018,,Summer,,,,,45,,,,,,,,,,,,,,,,
"Chicago School of Professional Psychology, The",Behavior Analysis,4500 BCBA Dallas,4500, BCBA Dallas,Behavior Change Procedures I,AB 556TX,Graduate,3,Fourth Edition,{Title:Behavior Change Procedures I},,,2018,,Summer,,,,,,,,,45,,,,,,,,,,,,
"Chicago School of Professional Psychology, The",Applied Behavior Analysis,"4502 BCBA IR, LA, SD",4502," BCBA IR, LA, SD",Behavior Change Procedures II,"AB 557 IR, LA, SD",Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,,,,,15,30
"Chicago School of Professional Psychology, The",Applied Behavior Analysis,"4502 BCBA IR, LA, SD",4502," BCBA IR, LA, SD",Behavior Change Procedures I,"AB 556 IR, LA, SD",Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,,,,,45,
"Chicago School of Professional Psychology, The",Applied Behavior Analysis,"4502 BCBA IR, LA, SD",4502," BCBA IR, LA, SD",Professional Ethics & Issues in Behavior Analysis,AB 565SD,Graduate,3,Fourth Edition,{Title:Professional Ethics & Issues in Behavior Analysis},,,2018,,Summer,,,,45,,,,,,,,,,,,,,,,,
"Chicago School of Professional Psychology, The",Applied Behavior Analysis,4501 BCBA Chicago,4501, BCBA Chicago,Concepts and Principles of Behavior Analysis I,AB 540CH,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,45,,,,,
"Chicago School of Professional Psychology, The",Applied Behavior Analysis,4501 BCBA Chicago,4501, BCBA Chicago,Behavior Assessment,AB 564CH,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,,,,45,,
"Chicago School of Professional Psychology, The",Behavior Analysis,51047 BCaBA,51047, BCaBA,Principles of Applied Behavior Analysis,BBA400,Undergraduate,3,Fifth Edition,,,,,,,,,,,,,,,,,,,,,10,35,,,,,
"Chicago School of Professional Psychology, The",Applied Behavior Analysis,"4502 BCBA IR, LA, SD",4502," BCBA IR, LA, SD",Measurement and Design in Behavior Analysis,"AB 545 IR, LA, SD",Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,,,45,,,
"Chicago School of Professional Psychology, The",Behavior Analysis,51047 BCaBA,51047, BCaBA,Measurement and Evaluation,BBA410,Undergraduate,3,Fifth Edition,,,,,,,,,,,,,,,,,,,,,,,,30,,,
"Chicago School of Professional Psychology, The",Applied Behavior Analysis,"4502 BCBA IR, LA, SD",4502," BCBA IR, LA, SD",Measurement & Design in Behavior Analysis ,AB 545LA,Graduate,3,Fourth Edition,{Title:Measurement & Design in Behavior Analysis},,,2018,,Summer,,,,,,25,20,,,,,,,,,,,,,,
"Chicago School of Professional Psychology, The",Applied Behavior Analysis,4501 BCBA Chicago,4501, BCBA Chicago,Behavior Change Procedures I,AB 556CH,Graduate,3,Fourth Edition,{Title:Behavior Change Procedures I},,,2018,,Summer,,,,,,,,,45,,,,,,,,,,,,
"Chicago School of Professional Psychology, The",Applied Behavior Analysis,4501 BCBA Chicago,4501, BCBA Chicago,Behavior Change Procedures I,AB 556CH,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,,,,,45,
"Chicago School of Professional Psychology, The",Applied Behavior Analysis,"4502 BCBA IR, LA, SD",4502," BCBA IR, LA, SD",Behavior Assessment ,AB 564IR ,Graduate,3,Fourth Edition,{Title:Behavior Assessment },,,2018,,Summer,,,,,,,,30,,15,,,,,,,,,,,
"Chicago School of Professional Psychology, The",Behavior Analysis,4500 BCBA Dallas,4500, BCBA Dallas,Behavior Change Procedures II,AB 557 TX,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,,,,,15,30
"Chicago School of Professional Psychology, The",Applied Behavior Analysis,"4502 BCBA IR, LA, SD",4502," BCBA IR, LA, SD",Concepts and Principles in Behavior Analysis II,AB 541LA,Graduate,3,Fourth Edition,{Title:Concepts and Principles in Behavior Analysis II},,,2018,,Summer,,,,,45,,,,,,,,,,,,,,,,
"Chicago School of Professional Psychology, The",Applied Behavior Analysis,4501 BCBA Chicago,4501, BCBA Chicago,Profesional Ethics and Issues,AB 565CH,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,45,,,,,,,
"Chicago School of Professional Psychology, The",Behavior Analysis,4500 BCBA Dallas,4500, BCBA Dallas,Behavior Assessment,AB 564 TX,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,,,,45,,
Clarion University,Special Education,4493 BCaBA,4493, BCaBA,ABA/CLM Curricula Design and Monitoring,SPED 433,Undergraduate,3,Fourth Edition,,8/26/2019,,,,,,,,,5,3,2,8,15,3,4,,,,,,,,,,
Clarion University,Special Education,4493 BCaBA,4493, BCaBA,"ABA/CLM Instructional Methods, Procedures, and Tools",SPED 413,Undergraduate,3,Fourth Edition,,8/26/2019,,,,,,,,,10,,,7,15,3,10,,,,,,,,,,
Clarion University,Special Education,4493 BCaBA,4493, BCaBA,Professional and Ethical Standards,SPED 438,Undergraduate,3,Fourth Edition,,8/26/2019,,,,,,,,35,5,,,,,,,5,,,,,,,,,
Clarion University,Special Education,4493 BCaBA,4493, BCaBA,Contingencies to Engineer Learning,SPED 437,Undergraduate,3,Fourth Edition,,8/26/2019,,,,,,,,,10,5,3,8,10,3,3,3,,,,,,,,,
Clarion University,Special Education,4493 BCaBA,4493, BCaBA,Foundations of Behavior Analysis and CLM,SPED 412,Undergraduate,3,Fourth Edition,,8/26/2019,,,,,,,,,10,3,2,7,15,3,2,3,,,,,,,,,
Clarion University,Special Education,4492 BCBA,4492, BCBA,Professional and Ethical Standards,SPED 538,Graduate,3,Fourth Edition,,8/26/2019,,,,,,,,45,,,,,,,,,,,,,,,,,
Clarion University,Special Education,4492 BCBA,4492, BCBA,Foundations of ABA and CLM,SPED 512,Graduate,3,Fourth Edition,,8/26/2019,,,,,,,,,24,2,2,2,5,5,2,3,,,,,,,,,
Clarion University,Special Education,4492 BCBA,4492, BCBA,"ABA/CLM Instructional Methods, Procedures, and Tools",SPED 513,Graduate,3,Fourth Edition,,8/26/2019,,,,,,,,,5,4,4,4,15,5,8,,,,,,,,,,
Clarion University,Special Education,4492 BCBA,4492, BCBA,Single Subject Design,SPED 637,Graduate,3,Fourth Edition,,8/26/2019,,,,,,,,1,,16,28,,,,,,,,,,,,,,
Clarion University,Special Education,4492 BCBA,4492, BCBA,Contingencies to Engineer Learning,SPED 537,Graduate,3,Fourth Edition,,8/26/2019,,,,,,,,,1,5,3,18,4,5,6,3,,,,,,,,,
Clarion University,Special Education,4492 BCBA,4492, BCBA,Advanced Applied Behavior Analysis,SPED 567,Graduate,3,Fourth Edition,,8/26/2019,,,,,,,,,35,,,,6,,,4,,,,,,,,,
Clarion University,Special Education,4492 BCBA,4492, BCBA,ABA/CLM Curricula Design and Monitoring,SPED 533,Graduate,3,Fourth Edition,,8/26/2019,,,,,,,,,5,,,8,20,7,5,,,,,,,,,,
Clemson University,Youth Learning Institute,4087 BCBA,4087, BCBA,Ethics & Professional Conduct,Behv 104,Graduate,3,Fourth Edition,,1/7/2019,,,,,,,,45,,,,,,,,,,,,,,,,,
Clemson University,Youth Learning Institute,4087 BCBA,4087, BCBA,Verbal Behavior,Behv 108,Graduate,1,Fourth Edition,,1/7/2019,,,,,,,,,,,,,,,,,15,,,,,,,,
Clemson University,Youth Learning Institute,4087 BCBA,4087, BCBA,Basic Principles in Behavior Analysis II,Behv 102,Graduate,3,Fourth Edition,,1/7/2019,,,,,,,,,5,,,15,20,5,,,,,,,,,,,
Clemson University,Youth Learning Institute,4087 BCBA,4087, BCBA,Applications in Behavior Analysis - Generalization Training,Behv 106,Graduate,1,Fourth Edition,,1/7/2019,,,,,,,,,,,,5,5,,5,,,,,,,,,,
Clemson University,Youth Learning Institute,4087 BCBA,4087, BCBA,Language Development for Persons with Developmental Disabilities,Behv 109,Graduate,2,Fourth Edition,,1/7/2019,,,,,,,,,,,,,5,5,,5,15,,,,,,,,
Clemson University,Behavior Analysis,4129 BCBA  - [Retired],4129, BCBA  - [Retired],Ethical and Professional Conduct,BEHVR-8,Graduate,2,Fourth Edition,{Number:BEHVR-8},,8/31/2018,2013,,Fall,,,,30,,,,,,,,,,,,,,,,,
Clemson University,Behavior Analysis,4129 BCBA  - [Retired],4129, BCBA  - [Retired],Behaviour Change Applications,BEHVR-4,Graduate,3,Fourth Edition,{Number:BEHVR-4},,8/31/2018,2013,,Fall,,,,,,,,,45,,,,,,,,,,,,
Clemson University,Behavior Analysis,4129 BCBA  - [Retired],4129, BCBA  - [Retired],Measurement and Experimental Design I,BEHVR-2,Graduate,1,Fourth Edition,{Number:BEHVR-2},,8/31/2018,2013,,Fall,,,,,,10,5,,,,,,,,,,,,,,
Clemson University,Behavior Analysis,4129 BCBA  - [Retired],4129, BCBA  - [Retired],Measurement and Experimental Design II,BEHVR-7,Graduate,2,Fourth Edition,{Number:BEHVR-7},,8/31/2018,2013,,Fall,,,,,,15,15,,,,,,,,,,,,,,
Clemson University,Behavior Analysis,4129 BCBA  - [Retired],4129, BCBA  - [Retired],Intervention and Implementation II,BEHVR-9,Graduate,3,Fourth Edition,{Number:BEHVR-9},,8/31/2018,2013,,Fall,,,,,,,,,,5,5,5,15,,,,,,,,
Clemson University,Youth Learning Institute,4128 BCBA,4128, BCBA,Concepts and Principles of Behaviour Analysis,BEHVR-1,Graduate,3,Fourth Edition,,3/22/2019,,,,,,,,,45,,,,,,,,,,,,,,,,
Clemson University,Youth Learning Institute,4128 BCBA,4128, BCBA,"Identification, Assessment and Discretionary",BEHVR-5,Graduate,3,Fourth Edition,,3/22/2019,,,,,,,,,,,,30,,,,,15,,,,,,,,
Clemson University,Youth Learning Institute,4128 BCBA,4128, BCBA,Ethical and Professional Conduct,BEHVR-8,Graduate,2,Fourth Edition,,3/22/2019,,,,,,,,30,,,,,,,,,,,,,,,,,
Clemson University,Youth Learning Institute,4128 BCBA,4128, BCBA,Intervention and Implementation I,BEHVR-6,Graduate,1,Fourth Edition,,3/22/2019,,,,,,,,,,,,,,5,5,5,,,,,,,,,
Clemson University,Youth Learning Institute,4128 BCBA,4128, BCBA,Measurement and Experimental Design I,BEHVR-2,Graduate,1,Fourth Edition,,3/22/2019,,,,,,,,,,10,5,,,,,,,,,,,,,,
Clemson University,Youth Learning Institute,4128 BCBA,4128, BCBA,Behaviour Change Applications,BEHVR-4,Graduate,3,Fourth Edition,,3/22/2019,,,,,,,,,,,,,45,,,,,,,,,,,,
Clemson University,Youth Learning Institute,4128 BCBA,4128, BCBA,Measurement and Experimental Design II,BEHVR-7,Graduate,2,Fourth Edition,,3/22/2019,,,,,,,,,,15,15,,,,,,,,,,,,,,
Clemson University,Youth Learning Institute,4128 BCBA,4128, BCBA,Introduction to Ethical and Professional Conduct,BEHVR-3,Graduate,1,Fourth Edition,,3/22/2019,,,,,,,,15,,,,,,,,,,,,,,,,,
Clemson University,Youth Learning Institute,4128 BCBA,4128, BCBA,Intervention and Implementation II,BEHVR-9,Graduate,2,Fourth Edition,,3/22/2019,,,,,,,,,,,,,,5,5,5,15,,,,,,,,
Clemson University,Behavior Analysis,4129 BCBA  - [Retired],4129, BCBA  - [Retired],Intervention and Implementation I,BEHVR-6,Graduate,1,Fourth Edition,{Number:BEHVR-6},,8/31/2018,2013,,Fall,,,,,,,,,,5,5,5,,,,,,,,,
Clemson University,Behavior Analysis,4129 BCBA  - [Retired],4129, BCBA  - [Retired],Concepts and Principles of Behaviour Analysis,BEHVR-1,Graduate,3,Fourth Edition,{Number:BEHVR-1},,8/31/2018,2013,,Fall,,,,,45,,,,,,,,,,,,,,,,
Clemson University,Youth Learning Institute,4130 BCaBA,4130, BCaBA,Intervention and Implementation I,BEHVR-6,Graduate,1,Fourth Edition,,3/22/2019,,,,,,,,,,,,,,5,5,5,,,,,,,,,
Clemson University,Youth Learning Institute,4130 BCaBA,4130, BCaBA,"Identification, Assessment and Discretionary",BEHVR-5,Graduate,3,Fourth Edition,,3/22/2019,,,,,,,,,,,,30,,,,,15,,,,,,,,
Clemson University,Youth Learning Institute,4130 BCaBA,4130, BCaBA,Behaviour Change Applications,BEHVR-4,Graduate,3,Fourth Edition,,3/22/2019,,,,,,,,,,,,,45,,,,,,,,,,,,
Clemson University,Youth Learning Institute,4130 BCaBA,4130, BCaBA,Measurement and Experimental Design I,BEHVR-2,Graduate,1,Fourth Edition,,3/22/2019,,,,,,,,,,10,5,,,,,,,,,,,,,,
Clemson University,Youth Learning Institute,4130 BCaBA,4130, BCaBA,Introduction to Ethical and Professional Conduct,BEHVR-3,Graduate,1,Fourth Edition,,3/22/2019,,,,,,,,15,,,,,,,,,,,,,,,,,
Clemson University,Youth Learning Institute,4130 BCaBA,4130, BCaBA,Concepts and Principles of Behaviour Analysis,BEHVR-1,Graduate,3,Fourth Edition,,3/22/2019,,,,,,,,,45,,,,,,,,,,,,,,,,
Clemson University,Behavior Analysis,4129 BCBA  - [Retired],4129, BCBA  - [Retired],Introduction to Ethical and Professional Conduct,BEHVR-3,Graduate,1,Fourth Edition,{Number:BEHVR-3},,8/31/2018,2013,,Fall,,,,15,,,,,,,,,,,,,,,,,
Clemson University,Youth Learning Institute,4087 BCBA,4087, BCBA,Basic Principles in Behavior Analysis I,Behv 101,Graduate,3,Fourth Edition,,1/7/2019,,,,,,,,,40,,,,5,,,,,,,,,,,,
Clemson University,Behavior Analysis,4129 BCBA  - [Retired],4129, BCBA  - [Retired],"Identification, Assessment and Discretionary",BEHVR-5,Graduate,3,Fourth Edition,{Number:BEHVR-5},,8/31/2018,2013,,Fall,,,,,,,,30,,,,,15,,,,,,,,
Clemson University,Youth Learning Institute,4087 BCBA,4087, BCBA,Applications in Behavior Analysis - Autism Intervention,Behv 105,Graduate,1,Fourth Edition,,1/7/2019,,,,,,,,,,,,5,5,,,5,,,,,,,,,
Clemson University,Youth Learning Institute,4087 BCBA,4087, BCBA,Applications in Behavior Analysis - Educational Applications,Behv 107,Graduate,1,Fourth Edition,,1/7/2019,,,,,,,,,,,,5,5,,5,,,,,,,,,,
Clemson University,Youth Learning Institute,4087 BCBA,4087, BCBA,Research Methodology,Behv 103,Graduate,3,Fourth Edition,,1/7/2019,,,,,,,,,,25,20,,,,,,,,,,,,,,
Cleveland State University,Teacher Education,4238 BCBA,4238, BCBA,Advanced topics in Behavior Analysis,ESE 534,Graduate,3,Fourth Edition,{Title:Adv Topics Behav Analysis},,,2014,,Fall,,,,,17,,,,,,,,28,,,,,,,,
Cleveland State University,Teacher Education,4238 BCBA,4238, BCBA,Principles of Behavior Analysis,ESE 530,Graduate,3,Fourth Edition,{Title:Prin Behavior Analysis},,,2014,,Fall,,,,,28,,5,1,7,4,,,,,,,,,,,
Cleveland State University,Teacher Education,4238 BCBA,4238, BCBA,Research Methods in Behavior Analysis,ESE 531,Graduate,3,Fourth Edition,{Title:Rsrch Meth Behav Analysis},,,2014,,Fall,,,,,,24,13,8,,,,,,,,,,,,,
Cleveland State University,Teacher Education,4238 BCBA,4238, BCBA,Behavioral Assessment and Intervention,ESE 532,Graduate,3,Fourth Edition,{Title:Behav Assess & Intervn},,,2014,,Fall,,,,,,1,2,6,23,6,,5,2,,,,,,,,
Cleveland State University,Teacher Education,4238 BCBA,4238, BCBA,Intervention for Individuals with Autism and Developmental Disabilities,ESE 533,Graduate,3,Fourth Edition,{Title:Interv Indiv Autism Devl Disab},,,2014,,Fall,,,,,,,,15,15,,10,5,,,,,,,,,
Cleveland State University,Teacher Education,4238 BCBA,4238, BCBA,Ethics and Consultation in Behavior Analysis,ESE 535,Graduate,3,Fourth Edition,{Title:Ethcs Consult Beh Analysis},,,2014,,Fall,,,,45,,,,,,,,,,,,,,,,,
College of Mount Saint Vincent,Teacher Education,4504 BCBA,4504, BCBA,Strategies for Inclusion of Special Learners,EDUC 712,Graduate,3,Fourth Edition,{Title:Strategies for Inclusion of Special Learners},,,2018,,Fall,,,,,,,,,45,,,,,,,,,,,,
College of Mount Saint Vincent,Teacher Education,4504 BCBA,4504, BCBA,Life Span Special Education: Transition from Birth to Adulthood,EDUC 716,Graduate,3,Fourth Edition,{Title:Life Span Special Education: Transition from Birth to Adulthood},,,2018,,Fall,,,,,,,,,,10,10,10,15,,,,,,,,
College of Mount Saint Vincent,Teacher Education,4504 BCBA,4504, BCBA,BEHAVIOR MANAGEMENT and SOCIAL SKILLS INSTRUCTION,EDUC 527,Graduate,3,Fourth Edition,{Title:BEHAVIOR MANAGEMENT and SOCIAL SKILLS},,,2018,,Fall,,,,,45,,,,,,,,,,,,,,,,
College of Mount Saint Vincent,Teacher Education,4504 BCBA,4504, BCBA,Practicum in Assessment & Instruction of Special Learners,EDUC 714,Graduate,3,Fourth Edition,{Title:Practicum in Assessment & Instruction of Special Learners},,,2018,,Fall,,,,,,,,30,,,,,15,,,,,,,,
College of Mount Saint Vincent,Teacher Education,4504 BCBA,4504, BCBA,Special Topics in Education: Ethics and Professionalism in ABA ,EDUC 570,Graduate,3,Fourth Edition,{Title:Special Topics in Education: Ethics and Professionalism in},,,2018,,Fall,,,,45,,,,,,,,,,,,,,,,,
College of Mount Saint Vincent,Teacher Education,4504 BCBA,4504, BCBA,Research for Classroom Teachers ,EDUC 602B,Graduate,3,Fourth Edition,{Title:Research for Classroom Teachers },,,2018,,Fall,,,,,,25,20,,,,,,,,,,,,,,
Columbia University Teachers College,Special Education,51080 BCBA,51080, BCBA,"Applied Behavior Analysis I:  Concepts and Principles in Pedagogy, Curriculum, and Management",HBSE 4015,Graduate,3,Fifth Edition,,9/9/2019,,,,,,,,,,,,,,,,,,,,45,,,,,
